"Lemma
（見出し語）","Japanese
(Short)","Commentary
(解説)"
superstore,スーパーストア,スーパーストア 
superstructure,上部構造,上部構築物. 上層. 超格子構造. 規則格子. 建築. 建物. ある原理に基づく思想
supervise,監督する,を監督(管理)する
supervised,監督,監修(された) 
supervision,監督,管理. 監督. 指揮. 監視
supervisor,スーパーバイザー,指揮者. 監督者. 管理者
supervisory,監督の,監督上の
supine,あお向けになった,あお向けになった. 怠惰な. 不精な
supper,夕食,夕食(会). 夜食. (the Last Supper最後の晩餐)
supplant,取って代わる,に取って代わる
supplanted,取って代わられた ,取って代わられた 
supple,しなやかな,をしなやかにする. 柔順な. 柔軟な. 素直な. 追従的な. 曲げやすい
supplement,サプリメント,補足. 追加. 補遺. 補角. を補う
supplemental,補足,補足の
supplementary,補助的な,補充(追加)されたもの. 補充の. 補足の. 補遺の
supplementation,補充,補充 
supplemented,補った,補足 
supplicant,嘆願者,嘆願者. 哀願者
supplier,サプライヤー,原料供給国. 供給者. 仕入先. 業者. 供給業者. 納入業者
supplies,用品,用品 
supply,供給,を供給する. 支給する. 供給
support,サポート,支持する. 援助する. (家族など)を養う. を立証する. 裏付ける. 支持. 援助. サポート
supporter,サポーター,サポーター. 支持者. 扶養者. 支柱
supportive,支持する,協力的な. 支持する
suppose,仮定する,仮定する. だと思う. だと想像する. もし～だとしたら
supposed,想定,そう考えられていた. 仮定の. 想像上の
supposedly,たぶん,たぶん. おそらく
supposition,仮定,想定. 仮定. 推測
suppository,座薬,座薬
suppress,抑える,を抑圧する. 鎮定する. 抑える. を鎮圧する. を我慢する. を隠す
suppression,抑制,抑えること. 鎮圧. 隠すこと. 抑圧. 鎮静. 抑制
suppressive,抑制,抑圧(抑制)する. 隠蔽(いんぺい)する. 発禁にする
suppressor,抑制器,抑制器 
supra,上記に,(ｷﾞﾘｼｱ語)スープラ. 越えて. 上に. 2. トヨタ自動車の車名の一つ
supremacist,至上主義者,至上主義者
supremacy,至上,優位. 最高. 至高. 主権. 至上. 最高位
supreme,最高,最高の. 主権を有する. 究極の. 絶頂. 至高の. 最後の
supremely,最高に,最高に 
sur,シュール,シュール. 超越した. 現実離れした 
surcharge,サーチャージ,追加料金. 不足金. 上積み. 積過ぎ
sure,確かに,確信して. 信じて. 確かに. 本当に
surefire,確実な,必ずうまくいく. 成功疑いなしの
surely,確かに,確実に. 確かに
surest,最も確実な,最も確実な
surety,保証人,保証金. 保証. 担保. 確実さ
surf,サーフ,波乗りする. サーフィンをする. 波. 寄せる波
surface,表面,表面(の). 外見(上の). 水面. 表れ. 表面に出る. 明るみにでる. 隠していることがばれる
surfactant,界面活性剤,界面活性剤 
surfboard,サーフボード,波乗り板
surfeit,過剰,を過度に食べさせる. 食べすぎる. 飽き飽きする. 過度の. 氾濫. 洪水
surfer,サーファー,サーファー. サーフィンをする人. 波乗り人
surfing,サーフィン,サーフィン
surge,サージ,波立つ. 波のように打ち寄せる. 沸き上がる. 揺らぐ. 急増する. うねり. 高潮. 動揺. 大波. 殺到. 高まり
surgeon,外科医,外科医. (海軍の)軍医. 船医
surgery,手術,外科. 手術室
surgical,外科的な,外科手術の. 外科医の
surgically,外科的に,外科的に 
Surinam,スリナム,"スリナム共和国 Republic of Suriname. 南米大陸の北東部,カリブ海に面し南米唯一蘭語が公用語. 元蘭領. ギアナ高地にあり面積,人口共南米最小"
surly,無愛想な,険悪な
surmise,推量する,推測(する)
surmised,推測,推測された 
surmount,乗り越える,を克服する. に登る. の上に置く
surmounted,克服,克服された 
surname,姓,姓. 姓名. 2. あだ名をつける. あだ名
surpass,上回る,に優る. を超える. しのぐ
surplus,黒字,黒字. 剰余. 余剰. 余り. 余った. 過剰の. 余剰の. 黒字の
surprise,驚き,驚き. を驚かせる
surprised,驚いた,驚いた 
surprising,驚くべき,驚くべき. 意外な
surprisingly,驚くほど,驚くほど(に). 意外にも. 驚くほどに. あきれるほど. 驚いたことには
surreal,非現実的な,超現実主義(的)の. 妙に現実離れした
surrealism,シュールレアリズム,(芸術)超現実主義. シュールリアリズム
surrealist,超現実主義者,超現実主義(者)
surrender,降伏,降伏(する). を放棄する. 引き渡し. 明渡し(する). 自首
surreptitious,秘密の,不正の. 秘密の
surreptitiously,こっそり,(特に. 不正な理由で)人目を忍んで行な. 内密の. こそこそとする
Surrey,サリー,"サリー. ロンドン近郊のホーム･カウンティの一つ.  2. サレー,カナダのブリティッシュコロンビア州南西岸の都市.  3. サリー大学(ロンドン近郊の大学)"
surrogate,サロゲート,代理. 代理人. 代わりのもの
surround,サラウンド,を取り囲む. サラウンド
surrounding,周囲の,周囲の. 付近の
surroundings,周囲,環境. 周囲(の状況)
surveillance,サーベイランス,(容疑者や敵の)監視. 見張り. 見渡す. 調査する. 監督
survey,調査,を調査する. 概観. 調査. を概観する. 測量する
surveyor,検査官,鑑定人. 検査者. 測量師
survivable,存続可能な,存続可能な 
survival,生存,生存(者). 生き残ること
survive,生き残る,生き残る. より長生きする. を越えて生き延びる
survivor,生存者,生き残った人. 生存者. 遺族. 遺物. 測量士. 検査官. 鑑定士
SUS,SUS,ステンレススチール(stainless used steel)  2. 疑い
Susan,スーザン,"スーザン. 女の子の名前. Susanna(h)の異形. (愛称 Sue,Susie)"
susceptibility,敏感,感受性. 感染しやすいこと. (複数形で)傷つきやすい感情
susceptible,影響を受けやすい　,影響を受けやすい. 敏感な. 感染しやすい. を許す. 可能な
sushi,寿司,すし
suspect,容疑者,ではないかと疑う(suppose). (人･もの)を疑う. 容疑者. 疑わしいもの
suspend,サスペンド,中止する. 一時中断する. 吊す. 延期する
suspenders,サスペンダー,サスペンダー(通常複数形) 
suspense,サスペンス,どっちつかずの状態. サスペンス. 未決. 不安. 未定
suspenseful,サスペンスに満ちた,サスペンスに満ちた 
suspension,サスペンション,負債の返済不納. 吊すこと. 停止. 宙吊り. 未決定. 停職
suspicion,疑い,容疑. 疑い
suspicious,疑わしい　,疑い深い. 疑わしい
suspiciously,疑い深く,けげんそうに. 怪しそうに. 深い疑く
suss,疑い,疑い. 容疑(者). 疑わしい. 見抜く. 突き止める. 調べる. 犯罪の疑いをかける
Sussex,サセックス,サセックス. イングランド南東部の地域. その範囲は中世のサセックス王国とほぼ一致する
sustain,サステイン,支える. 被る. 継続する. (法的に)承認する
sustainability,持続可能性,持続可能性 
sustainable,持続可能な,支えられる. 持続可能な
sustained,持続した,持続する
sustenance,栄養,維持すること. 食物. 栄養物. 生計
sutra,経典,"(バラモン教・仏教)経,経典,スートラ"
suture,縫合糸,(頭蓋の)縫合線. 傷の縫い合わせ. 縫合. 縫合糸
Suzanne,スザンヌ,スザンヌ(人名)
Suzhou,蘇州,蘇州市. 江蘇省東南部. 上海に隣接. 人口1050万人
Suzuki,スズキ,スズキ(自動車メーカー)　他
svelte,しなやかな,(女性が)すらりとした. すんなりした姿の
swab,綿棒,ぞうきんぼうき. 掃除する. モップでふく. 消毒綿で手当てする
swaddle,押さえつける,赤子を産着(細長い布)でくるむ. (to swaddle a baby) 
swag,みやげ品,みやげ品. 花飾り. 貴重品. 盗品. 密輸品. だらりと垂れる. 沈む. ゆすぶる
swagger,自慢,威張った歩き方. 自慢(する). ほらを吹く. 威張って歩く
swain,スウェイン,求婚者. 愛人
swallow,飲み込む,を飲み込む. 納得して受け入れる. ツバメ
swamp,沼,浸す. を水浸しにする. 沼地. 低湿地. 湿地
swampland,沼沢地,沼沢地
swampy,沼地の,沼地の(ような)
swan,白鳥,白鳥. きわだって美しい人. (俗)美人
swank,しゃれた,見せびらかし
swanky,しゃれた,しゃれた. 派手な
swap,スワップ,交換(する)
sward,草地,外皮. 芝生. 芝地. 草地. 草土. 芝生で覆われる. 芝生で覆う
swarm,群れ,いっぱいになる. 群がる. 群れ. 昆虫の群れ. 群衆
swarmed,群がった,群がった 
swastika,かぎ十字,(サンスクリット語由来)かぎ十字マーク. かぎ十字章. まんじ
swat,ぴしゃりと打つ,ぴしゃりと打つ
swatch,材料見本,布地･革などの (小さく切った)見本. 小切れ
swath,スワース,ひと刈り分の牧草(麦など). ひと刈りの幅
swathe,包帯,包帯
sway,スウェイ,揺り動かす. を揺すぶる. を動かす. 揺れる. 動揺. 支配する
Swaziland,スワジランド,スワジランド王国 Kingdom of Swaziland. アフリカ南東部の国. 英連邦加盟国. 人口107万
swear,誓う,"(swore, sworn)誓って言う. 誓う. 断言する. Cf. swear words(卑語. 罰当りな言葉). swearwordsも"
swearing,宣誓,宣誓 
swearword,下品な言葉,"(=swear words)下品な言葉. 悪口. ののしり言葉 (swearは誓う,宣誓するの意だがswearwordとはイメージが異なる)"
sweat,汗,汗水たらして働く. 汗をかく. 湿気をおびる. 汗. 湿気. (俗)ぞうさなく. 簡単に(easily)
sweater,セーター,セーター
sweating,発汗,発汗 
sweatshirt,スウェットシャツ,スウェットシャツ
sweatshop,搾取,労働搾取工場. タコ部屋
sweaty,汗まみれの,汗にまみれた. 汗のような. 汗まみれの
Swede,スウェーデン人,スウェーデン人
Sweden,スウェーデン,スウェーデン王国 Kingdom of Sweden. 人口1000万弱. 首都ストックホルム. 日本より少し広い
Swedish,スウェーデン語,"スウェーデンの,スウェーデン人(の),スウェーデン語(の)"
Sweeney,スウィーニー,19世紀中頃のイギリスの怪奇小説に登場する架空の連続殺人者
sweep,スイープ,さっと通過する. を一掃する. 掃除する. (～を)掃く. を掃いて集める. 圧勝する. 大勝する
sweeper,スイーパー,掃除人. 掃除機
sweeping,掃除,おおざっぱな. 全面的な. さっと動く. 掃除. 広範な. ごみくず. 十把一絡げ
sweepstakes,宝くじ,宝くじ 
sweet,甘い,甘い. 菓子
sweeten,甘くする,を甘くする. を清める. を和らげる
sweetener,甘味料,甘味料
sweeter,甘い　,甘い 
sweetest,甘い　,甘い 
sweetheart,恋人,恋人
sweetie,甘いもの,甘いもの
sweetly,甘く,優しく. 甘く
sweetness,甘さ,声の美しさ. 甘さ. 愛らしさ
swell,うねり,膨らむ. を膨らませる. 隆起(する). 増大(する). (口)すてきな
swelling,腫れ,膨れる. 隆起した. はれ. はれもの. こぶ. 腫脹
swelter,暑さにまいる,暑さでまいる. 汗だくになる
swept,スウェプト,＜sweep. 掃いた. 掃除する
swerve,それる,急に曲がる. それる. それさせる. (急に)向きを変える. ハンドルを切る
swift,スイフト,迅速な. 迅速に. 敏速な. 非常に速い
swiftly,迅速に,すばやく. 迅速に
swiftness,迅速性,迅速さ
swig,ガブガブ飲む,がぶ飲みする. ひと飲み. がぶがぶ飲む. らっぱ飲みする
swill,がぶ飲み,がぶがぶ飲む. 痛飲
swim,スイム,泳ぐ
swimmer,スイマー,泳ぐ人
swimming,水泳,水泳. 水泳用の
swimsuit,水着,水着
swindle,詐欺,だます. 詐欺(を働く). を詐取する
swindler,詐欺師,ペテン師. 詐欺師
swine,豚,(野生の)ブタ. 豚. (pigはより家畜的)
swing,スイング,揺れる(こと). 向きを変える. 揺らす. 動かす. 回転. ぶらんこ. 2. (野球)スイング(バットを振ること)
swinger,スインガー,活発で現代的な人. 時流の先端をいく人. 性的に自由奔放な人
swinging,スイング,揺れる. 生きいきとリズミカルな. 軽快な. 現代的な. (口)最高の
swipe,スワイプ,大振りで打つ. 強打する. 盗む. かっぱらう. 強打. 大振り. がぶ飲み
swirl,スワール,旋回させる. 渦巻く. 渦. 混乱. 渦巻
swish,スウィッシュ,ひゅうと鳴る. をひゅっと振る. ひゅうと言う音. 棒･鞭等のひとふり
Swiss,スイス,"スイスの公式の英語表記Swiss Confederation. Switzerlandは通称で,Swissは主に形容詞として使われる(スイス人の. スイスの)"
switch,スイッチ,スイッチ. スイッチを切り換える
switchboard,配電盤,代表電話番号. 配電盤. 交換台
switching,切り替え,切り替え 
Switzerland,スイス,スイスの通称. (公式の英語表記は Swiss Confederation)
swivel,スイベル,自在軸受け. 旋回させる
swollen,膨張した,swellの過去分詞形. 膨れた
swoon,気絶,気絶(する). 次第に消えていく. 衰える
swoop,急襲,さっと舞い降りる. (空から舞い降りて)飛びかかる. をひったくる. 不意の襲撃. 急襲(する). 急降下
swoosh,スウッシュ,シューッという音(を立てる. を立てて吹き出す･移動する). 勢いよく動く(ほとばしり出る)
sword,剣,武力. 剣. 刀. 暴力. 戦争
swordfish,メカジキ,メカジキ
sybaritic,快楽的な,奢侈にふける
sycamore,プラタナス,いちじくの類. アメリカスズカケノキ
sycophant,ごまをする,追従者
Sydney,シドニー,シドニー(Australiaの港市)
Syk,SYK,"Syk(spleen tyrosine kinase) 脾臓チロシンキナーゼ. (チロシン=アミノ酸の一種, キナーゼ=酵素)"
syllable,音節,音節
syllabus,シラバス,概要. (講義などの)年間計画
syllogism,三段論法,三段論法(大前提. 小前提. および結論から成る推論)
sylvan,シルヴァン,樹木の茂った. 森の. 森に住む
Sylvester,シルベスター,人名. 2. JavaScript用library 他
symbiont,共生生物,共生生物 
symbiosis,共生,共生. 共存. 共同生活. 協力関係　(反)寄生parasitism
symbiotic,共生の,共生の 
symbol,シンボル,シンボル. 象徴. 記号. シンボルマーク(和製英語)
symbolic,シンボリック,象徴主義の. 象徴的な. 記号による
symbolically,象徴的に,象徴的に 
symbolism,シンボリズム,象徴主義
symbolist,象徴の,記号学者. 記号使用者
symbolize,象徴する,を記号で表す. を象徴する
symmetric,対称な,"対称の,対称的な,シンメトリック "
symmetrical,対称の,均整のとれた. 左右対称の. 対称の. 左右対称
symmetry,対称性,釣り合い. 調和. 同情. 対称
sympathetic,交感神経,思いやりのある. 同情的な. 同情する. 共感する
sympathetically,同情して,同情して. 共感して
sympathise,同情する,気の毒に思うこと. 同情. 共鳴する
sympathize,同情する,に同情する. 共鳴する. 共感する
sympathized,同情,共感を呼んだ
sympathizer,同調者,シンパ. 共鳴者. 支持者. 同情者. 同調者
sympathy,同情,同情. 賛成. 共感. 共鳴
sympatric,同所性の,同所性の. (種分化について同様か重なった地理的地域において起きる)
symphonic,交響曲の,音の類似した. 交響曲の. 調和した
symphony,交響曲,シンフォニー. 交響曲
symposium,シンポジウム,シンポジウム
symptom,症状,徴候. 柱. 症状. 症候
symptomatic,症状を示す,微侯となる
Synagogue,シナゴーグ,シナゴーグ. ユダヤ教の礼拝堂. ユダヤ会堂. ユダヤ教会堂
synapse,シナプス,"シナプス. 神経細胞と筋繊維間で形成されるシグナル伝達の接合部位とその構造. 化学シナプス,電気シナプス,両者が混在する混合シナプスに分類される"
synaptic,シナプスの,"シナプス(接合)の. ソフトウェア名,他"
sync,同期する,同調
synchronization,同期,同期化
synchronize,同期する,同時進行させる. 同時に起こる. を同調させる
synchronous,シンクロナス,同時(性)の. 同時に起こる. 同位相の. 同期の
synchrony,同調性,同調言語学. 同調的研究
syncytial,合胞体,合胞体. 複数の核を含んだ細胞のこと(動物に見られる) 
syncytium,合胞体,"合胞体. 融合細胞. 合胞体; 多核質; シンシチウム 
"
syndicate,シンジケート,シンジケート. 犯罪組織. 通信社. をシンジケート組織にする. 企業連合
syndication,シンジケーション,シンジケーション 
syndrome,症候群,シンドローム. 症候群(病的諸傾向). 一連の事物(事件). ある状況下での行動様式. 病的現象
syndromic,症候群の,症候群の 
syne,あれから,以前の (ex. auld lang syne 過ぎ去って久しい日)
synecdoche,提喩,"提喩法. 代喩. シネクドキ. 全体とその一部についての言い換え. (ex. 「人はパンのみに生くるにあらず」(パンは食べ物,あるいは広く物質的充足の意))"
synergistic,相乗的な,相乗作用の(を持つ. を引き起こす). 共同の
synergistically,相乗的に,相乗的に 
synergize,相乗作用を与える,相乗作用を与える 
synergy,相乗効果,相乗効果
synonym,同義語,"類義語. 同意語. (cf. synonym,homonym,antonym)"
synonymous,同義の,同意語の. 同義語の
synopsis,概要,概要. 大意
synovial,滑液の,滑液の. 滑膜(の) 
synovitis,滑膜炎,滑膜炎 
synovium,滑膜,滑膜 
syntax,構文,シンタックス. 統語論. 構文
Syntenic,シンテニーの,"生物学で,「ゲノム上で遺伝子の並びが保存されている」という意味 cf. synteny"
synteny,シンテニー,生物学において「ゲノム上で遺伝子の並びが保存されている」度合い　cf. syntenic
synthase,シンターゼ,シンターゼ. 合成酵素の一種
synthesis,合成,総合. 統合. 合成. 組み立て
synthesize,合成する,を統合する. を総合する. を合成する
synthesized,合成された,合成された 
synthesizer,シンセサイザー,シンセサイザー
synthetase,合成酵素,合成酵素 
synthetic,合成,合成した(fiberなど). 総合的な
syphilis,梅毒,梅毒
syphilitic,梅毒の,梅毒(性)の. 梅毒患者
Syracuse,シラキュース,シラキュース市. ニューヨーク州中央部. 市名はイタリアシチリア島の都市シラクサSiracusaに由来
Syria,シリア,シリア･アラブ共和国 Syrian Arab Republic
Syrian,シリアの,シリア(人)の. シリア･アラブ共和国の表示(Syrian Arab Republic)
syringe,注射器,注入する. 注射器(=injector)
syrup,シロップ,シロップ
system,システム,システム. 組織. 仕組み
systematic,系統的,手順のよい. 組織的な. 系統的な. 体系的な
systematically,体系的に,体系的に. 組織的に. 整然と. 意図的に
systemic,全身の,組織の. 全身(性)の
systemically,全身的に,全身的に 
systolic,シストリック,シストリック(医. 心臓収縮の)
t,t,アルファベットのt. 例示時 T as Tango. 
ta,TA,ありがとう(英略式)
tab,タブ,つまみ. 耳覆い. たれ飾り. 張り札. 記録. 勘定書
tabasco,タバスコ,メキシコ・タバスコ州原産のキダチトウガラシの一種チレ･タバスコ(タバスコペッパー)を使った辛味調味料
tabby,タビー,とら猫
tabernacle,幕屋,仮の住まい. テント小屋. 住み家
table,テーブル,テーブル
tableau,タブロー,活人画. 劇的画面
tablecloth,テーブルクロス,テーブルクロス
tablespoon,大さじ,テーブルスプーン. 食卓用大さじ
tablet,タブレット,平板. 書き板. 錠剤
tabletop,卓上,卓上 
tabloid,タブロイド,タブロイド. タブロイド型新聞. 大衆紙
taboo,タブー,禁止された. 禁忌. タブー. 忌み言葉. 禁制. 禁止
tabular,表形式の,卓状の. 表にした. 表計算した. 表の. 表を用いた. 平たい. 平板状の. 平板状の層から成る
tabulate,表にする,表にする
tabulated,作表,作表 
tabulation,作表,一覧表にすること
tach,タコメータ,tachometer. タコメーター
tachometer,タコメータ,タコメーター. 回転速度計
tachycardia,頻脈,頻脈 
tacit,暗黙,暗黙の. 潜在的な. 無言の. 言葉に表さない
tacitly,それとなく,それとなく 
taciturn,無口な,口数が少ない
tack,タック,針路. 方針. がびょう. 仮縫い. をびょうで留める
tackle,タックル,取組む. タックル(する). 道具. ろくろ
tacky,粘着性の,みすぼらしい. 粘る. 安っぽい
taco,タコス,タコス(メキシコ料理)
Tacoma,タコマ,タコマ市. 米国ワシントン州の太平洋岸有数の港湾都市. 人口20万人弱
tacrolimus,タクロリムス,タクロリムス. 免疫抑制剤の一種. 臓器移植や骨髄移植を行った患者の拒絶反応を抑制する. アトピー性皮膚炎に対する塗布剤でもある
tact,タクト,機転. 如才なさ
tactful,如才ない,気転のきく
tactfully,巧みに,如才なく. うまく
tactic,戦術,順序の. 方策
tactical,戦術的な,戦術上の. 戦術の
tactician,戦術家,策士. 戦術家
tactile,触覚の,触覚の. 触覚を有する
tactless,へまな,機転のきかない
Tad,タッド,"Tadタッド(男性名,Theodoreの愛称). 2. (t-)男の子,少年(tadpoleおたまじゃくしに由来). 3. 少量,わずか(=bit, It's a tad difficult. ちょっと難しい)"
tadpole,オタマジャクシ,オタマジャクシ
TAF,TAF,Terminal aerodrome forecast 飛行場気象予報. トルコ空軍 (Turkish Air Force). 
taffeta,タフタ,タフタ. コハク織
tag,タグ,に下げ札をつける. 決まり文句. 荷札. 金具. 尾. 巻き毛. ナンバープレート
tagline,キャッチフレーズ,キャッチフレーズ 
Tagus,テージョ川,タホ川(スペイン語). テージョ川(ポルトガル語). イベリア半島最長の1. 008kmの川. 上流側約700kmがスペイン領. 河口側約300kmがポルトガル領
tail,テール,尾. 尻尾. 尾状のもの. 後部. 下っ端. に随行する. 見張り. 尾行. 尾行者. 見張りの者
tailback,テイルバック,渋滞している車の列
tailgate,テールゲート,(トラック)尾板. 後部開閉板. (他の車の)直後を進む
taillight,テールライト,テールランプ
tailor,テーラー,仕立屋. 洋服屋
tailspin,崩壊,きりもみ降下(落下). (経済的)混乱. 狼狽. 動揺
taint,汚染,汚れ. 汚点. 汚名. 病毒. 汚れる. を汚す
Taiwan,台湾,台湾. 中華民国 Republic of China
Taiwanese,台湾の,台湾の 
Taj,タージ,Taj Mahal タージ･マハル. インド北部アーグラにムガル帝国5代皇帝シャー･ジャハーンが1631年に建設した総大理石の墓廟. インド･イスラーム文化の代表的建築
Tajikistan,タジキスタン,タジキスタン共和国 Republic of Tajikistan. 中央アジアの国. 南にアフガニスタンと接する. 人口700万人
take,取る,取る. (イメージ:もの･状態を自分のテリトリーに取り入れる)
takeoff,離陸,離陸
takeout,取り出す,持ち帰り用の料理
takeover,引き継ぐ,接収. 横取り. (管理･支配･所有などの)乗っ取り
taker,受け手,受け手. 受取人. (挑戦に)応じる人. 買い手. 消費者
taking,取得,魅力的な. 伝染性の. 獲得. 捕獲. 所得. 収入. 売上高. 悩み. 困惑
talc,タルク,タルク. 滑石
tale,物語,物語. 話. 作り話
talent,タレント,才能. 天分. 素質. 手腕
talented,才能のある,才能ある. 才能のある. 秀才. 有能な
Taliban,タリバン,タリバン. パキスタンとアフガニスタンで活動するイスラム主義運動
talisman,お守り,護符. お守り. 不思議な力のあるもの
talk,トーク,話す. (イメージ:相手の存在 + 双方向)論ずる. トーク
talkative,おしゃべりな,おしゃべりな. 話し好きの
talker,トーカ,おしゃべりな人
talking,話すこと,おしゃべり 
talky,おしゃべりな,おしゃべりな 
tall,背の高い,高い. (cf. high). (cf. tall. toll. torr. tole)
taller,背が高い　,背が高い 
tallest,最も高い　,最も高い 
tally,タリー,投票. 得点. 勘定. 一致する. 記録する. 数え上げる
Talmud,タルムード,タルムード. モーゼが伝えたとされるユダヤ教徒の聖典 
Talmudic,タルムード,タルムードの. モーゼが伝えたとされるユダヤ教徒の聖典の 
talon,爪,(猛禽の)つめ. つかみかかる手
tamarind,タマリンド,タマリンド. タマリンドの果実
tambourine,タンバリン,タンバリン
tame,飼いならす,飼い慣らされた. なれた. おとなしい. 従順な. を飼いならす
tamed,飼いならさ,飼いならされた
tamer,調教師,ならし手. 使い
Tamil,タミル,タミル語(南インドのタミル人の言語) 
Tammy,タミー,"スコットランド人,タミーの濾過布,タミーで濾過する"
tamoxifen,タモキシフェン,タモキシフェン. 非ステロイド性抗がん剤の一種
tamp,タンプ,詰める. 火薬などを詰める
Tampa,タンパ,タンパ. フロリダ州中部. メキシコ湾側の商工業･観光都市. 隣接地域と人口270万人の大都市圏を形成. 全米で19番目の規模
tamper,タンパー,不正取引をする. に干渉する. 買収する
tampon,タンポン,(生理用)タンポン. 止血栓
tan,日焼け,なめす. 皮をなめす. 皮膚を日焼けさせる. タンニン. 黄褐色
tandem,タンデム,縦に一列に並んで. 直列の
Tang,唐,"唐,(Tang-Dynasty, China 618-907). 2. (t-)ぴりっとする味. 強いにおい. 気味. 趣き"
tangency,接触,＜tangeny. 接触. 2つのものが触れたり物理的に接触したりする接点
tangent,タンジェント,接する. 接線の. 接線. 接面
tangential,接線の,接線の 
tangentially,接線方向に,接線方向に 
tangerine,タンジェリン,ミカン. 赤味の強いオレンジ色. 赤橙色. 濃い橙色. tangierの. タンジェリン色の
tangible,有形,具体的な. 明白な. はっきりと理解できる. 実体のある
tangle,もつれ,をもつれさせる. を紛糾させる. を罠にかける. けんかする. 混乱. もつれ. ごたごた
tangled,もつれた,もつれた
Tanglewood,タングルウッド,タングルウッド. マサチューセッツ州. 毎夏タングルウッド音楽祭とジャズフェスティバルが開かれる. 1937年よりボストン交響楽団の夏季の活動拠点となっている
tango,タンゴ,タンゴ(を踊る). 赤橙色
tangy,舌にピリッとする,ぴりっとする
tank,タンク,タンク. 水槽. 戦車
tankard,タンカード,"(ふた･取っ手つき,陶器,金属製の)大コップ"
tanker,タンカー,油送船. タンカー. タンクローリー
tanner,タナー,なめし皮工
tannery,皮なめし工場,なめし革工場. 皮なめし. 皮なめし工場
tannin,タンニン,"タンニン. タンパク質,アルカロイド(Alkaloid),金属イオンと結合し,難溶性の塩を作る水溶性化合物. 植物界に普遍的に存在. タンニンの名は「革を鞣す」の""tan"" に由来"
tantalize,じらす,じらす. 人をじらす. (cf. irritate. teas. peeve. annoy. provoke. (見せびらかして)tantalize)
tantamount,等しい　,同等の. 等しい
tantrum,かんしゃく,かんしゃく. むかっ腹を立てる
Tanzania,タンザニア,タンザニア連合共和国 United Republic of Tanzania. アフリカ東岸の国
tao,タオ,道教の「道」 
tap,タップ,こつこつ叩く. 開発する. 引き出す. 栓を抜く. 靴の音 2. 飲み口. 栓. 蛇口. 3. 盗聴. 電話盗聴(傍受)装置. 盗聴する
tape,テープ,(平らな)ひも. テープ. 接着テープ. 粘着テープ. 巻き尺
taper,テーパー,だんだん細くなる. 次第に細くなる. 次第に小さくなる. 漸減. 次第に細くする
tapered,テーパーの,先細りになった. 小ろうそく
tapestry,タペストリー,"つづれ織り,タペストリー"
tapeworm,サナダムシ,サナダムシ
taping,テーピング,テーピング 
tapioca,タピオカ,タピオカ(cassavaの根からつくった食用でんぷん)
tapir,バク,バク(貘)
tapping,盗聴,湯出し
Taq,Taq,"Taqポリメラーゼとは,熱水噴出孔に生息する好熱菌(Thermus aquaticus)が産生するDNAポリメラーゼ. (核酸を鋳型としてDNA を合成する酵素)"
tar,タール,タール. を汚す
Tara,タラ,タラ (人名)
Tarantella,Tarantellaの,タランテラ(の曲). 南イタリアの活発な民俗舞曲. 南イタリアの都市ターラントに由来. 
tarantula,タランチュラ,タランチュラ(毒グモ)
tardy,遅刻,遅々とした. 遅い. 遅刻
target,ターゲット,目的物. 対象の. 的
targeted,対象となる,ターゲット 
targeting,ターゲティング,ターゲット 
tariff,関税,関税. 関税率. 関税表. 関税法. 運賃. 料金表
tarmac,駐機場,タールマカダム(砕石とタールの混合物). タールマック舗装道路. 駐機場
tarn,タルン,タルン. 小湖. 氷食でできた盆状の湖
tarnish,変色,曇らせる. 曇り
tarot,タロット,タロット占い 
tarpon,ターポン,Atlantic tarponターポン. カライワシ目イセゴイ科の魚. 体長は250cmを記録. 太古よりほとんど形状を変えず現代まで生き延びてきた古代魚
tart,タルト,ぴりっとした. 酸っぱい. 痛烈な. 辛辣な
tartan,タータン,タータン. 格子じま. (スコットランド高地人の)格子じま毛織物
tartar,歯石,酒石(ワイン製造時の沈殿物). 歯石
tartly,しんらつに,厳しく. 辛らつに
Tarzan,ターザン,ターザン(Tarzan). アメリカの小説家エドガー･ライス･バローズが創造したジャングルで育つヒーロー. 1918年映画化
taser,テイザー社,電気矢発射銃(で人を撃つ. 麻痺させる)
task,仕事,に負担をかける. 仕事. に仕事を課する. 職務. 事業
tasked,任務,任務 
taskmaster,工事監督,職工長. 親方
Tasmania,タスマニア州,タスマニア州. オーストラリア本土の南方海上に位置する州. 州都は島内最大の都市ホバート. 人口51万人
tass,さかずき,さかずき 
tassel,タッセル,(飾り)房. 房毛
taste,味,を味わう. を経験する. 味. 風味. 好み. 風情. 経験
tasted,味わっ,味わった 
tasteful,上品な,風雅な. 審美眼のある. 趣のある. 上品な
tastefully,趣味よく,趣味がいい 
tasteless,味のない,趣のない. まずい. 無味の. 味がない
taster,毒味役,検味器. 味見をする人. 味わう人. 毒味役
tasting,テイスティング,試食. 試飲. 味見
tasty,おいしい　,おいしい. 味のいい
tat,TAT,ぼろを縫い合わせた敷物. 粗製ズック. 薄汚い服. みすぼらしい人. 安っぽいもの. 軽打. tattoo. カンバス地. タッチングtattingで作る. 糸をかがって作る
tater,ジャガイモ,ジャガイモ. 2. (野球)ホームラン. 本塁打
tattered,ぼろぼろ,ぼろぼろの
tattle,告げ口,おしゃべりする
